text,is_retweet,extractedts,sentiment,score
Nuove sanzioni contro la Russia annunciate. #politica,False,2023-03-04,pos,0.3900146
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-02-27,pos,0.8569095
Rischio di escalation nucleare? Preoccupazione globale. #crisi,True,2023-03-02,pos,0.6044439
Missili russi colpiscono obiettivi civili. #guerra,True,2023-03-03,neu,0.4556743
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-03-02,neu,0.6661592
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-02-28,pos,0.3566839
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-02-27,neu,0.544304
Manifestazioni in Italia per la pace. #noallaguerra,True,2023-02-27,neg,0.3818909
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-02-27,neg,0.6234567
Missili russi colpiscono obiettivi civili. #guerra,True,2023-03-01,pos,0.8752447
Il mondo è diviso sulla risposta al conflitto. #geopolitica,True,2023-02-26,neu,0.3638659
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-02-26,neg,0.7388548
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,True,2023-02-28,neu,0.6304585
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-03-03,pos,0.3835276
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-02-27,neg,0.8335896
Manifestazioni in Italia per la pace. #noallaguerra,True,2023-03-01,neu,0.4040221
L'invasione dell'Ucraina continua. #pace #Russia,False,2023-02-26,pos,0.381344
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-02-27,pos,0.8801998
L'invasione dell'Ucraina continua. #pace #Russia,True,2023-03-04,pos,0.4229457
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,True,2023-03-04,neg,0.9266997
Il conflitto non ha fine serve diplomazia. #Ucraina,False,2023-02-28,neg,0.5966693
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-03-02,pos,0.445715
Il conflitto non ha fine serve diplomazia. #Ucraina,False,2023-02-26,neu,0.4216133
Zelensky chiede più aiuti militari. #UcrainaResiste,False,2023-03-03,neu,0.6777656
Il mondo è diviso sulla risposta al conflitto. #geopolitica,True,2023-03-04,neg,0.9319722
Missili russi colpiscono obiettivi civili. #guerra,False,2023-03-02,pos,0.3634191
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-03-02,neu,0.624702
L'invasione dell'Ucraina continua. #pace #Russia,False,2023-03-01,pos,0.7922343
Missili russi colpiscono obiettivi civili. #guerra,True,2023-03-04,neu,0.9698546
Nuove sanzioni contro la Russia annunciate. #politica,True,2023-02-28,neu,0.8143735
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-03-01,pos,0.407994
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,True,2023-03-03,neg,0.8164457
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-02-28,neg,0.871369
Missili russi colpiscono obiettivi civili. #guerra,False,2023-03-04,pos,0.7475655
Missili russi colpiscono obiettivi civili. #guerra,True,2023-03-04,pos,0.9493169
Nuove sanzioni contro la Russia annunciate. #politica,False,2023-02-28,neu,0.3935316
Il conflitto non ha fine serve diplomazia. #Ucraina,False,2023-02-28,neu,0.854591
Missili russi colpiscono obiettivi civili. #guerra,False,2023-03-01,neg,0.924199
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-02-27,neg,0.6042137
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-03-04,neg,0.8412385
Nuove sanzioni contro la Russia annunciate. #politica,True,2023-03-03,neg,0.8528801
Zelensky chiede più aiuti militari. #UcrainaResiste,True,2023-02-25,neg,0.852656
L'invasione dell'Ucraina continua. #pace #Russia,False,2023-02-27,pos,0.9590445
Zelensky chiede più aiuti militari. #UcrainaResiste,True,2023-03-03,neg,0.3777365
Manifestazioni in Italia per la pace. #noallaguerra,True,2023-03-04,neg,0.7342396
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-02-28,neg,0.5799743
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-02-28,neu,0.5248176
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-02-25,neu,0.7339561
Il conflitto non ha fine serve diplomazia. #Ucraina,False,2023-03-02,pos,0.5667649
Missili russi colpiscono obiettivi civili. #guerra,False,2023-03-01,neu,0.6882046
Zelensky chiede più aiuti militari. #UcrainaResiste,False,2023-02-26,neg,0.6172735
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-03-01,neu,0.3895473
Rischio di escalation nucleare? Preoccupazione globale. #crisi,True,2023-02-26,pos,0.8167554
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-02-27,neu,0.677494
Manifestazioni in Italia per la pace. #noallaguerra,True,2023-03-01,neu,0.5491122
Zelensky chiede più aiuti militari. #UcrainaResiste,False,2023-03-02,neu,0.7025013
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-03-03,neu,0.961292
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,True,2023-03-03,neg,0.5649472
L'invasione dell'Ucraina continua. #pace #Russia,True,2023-02-27,pos,0.6819073
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-02-26,pos,0.8118264
L'invasione dell'Ucraina continua. #pace #Russia,False,2023-03-02,neu,0.9469745
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-03-04,neu,0.9668634
Manifestazioni in Italia per la pace. #noallaguerra,True,2023-02-28,neu,0.3652315
Il conflitto non ha fine serve diplomazia. #Ucraina,False,2023-03-02,neg,0.8512771
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-02-27,neg,0.8435269
Rischio di escalation nucleare? Preoccupazione globale. #crisi,True,2023-03-01,pos,0.7916459
Missili russi colpiscono obiettivi civili. #guerra,False,2023-02-26,neg,0.5172899
Rischio di escalation nucleare? Preoccupazione globale. #crisi,True,2023-03-03,neu,0.8371906
Il mondo è diviso sulla risposta al conflitto. #geopolitica,True,2023-03-02,neu,0.4770519
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-02-25,pos,0.4080897
L'invasione dell'Ucraina continua. #pace #Russia,False,2023-03-03,neg,0.8036268
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-03-03,neg,0.3428739
Zelensky chiede più aiuti militari. #UcrainaResiste,True,2023-03-04,neu,0.7044025
Zelensky chiede più aiuti militari. #UcrainaResiste,True,2023-02-27,neg,0.3759038
Zelensky chiede più aiuti militari. #UcrainaResiste,False,2023-02-27,pos,0.5117663
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-03-02,neu,0.8433832
Missili russi colpiscono obiettivi civili. #guerra,True,2023-03-02,neg,0.5973028
Il conflitto non ha fine serve diplomazia. #Ucraina,True,2023-03-04,pos,0.9078927
Rischio di escalation nucleare? Preoccupazione globale. #crisi,True,2023-02-27,neu,0.8075064
Rischio di escalation nucleare? Preoccupazione globale. #crisi,True,2023-02-27,pos,0.7449913
Missili russi colpiscono obiettivi civili. #guerra,False,2023-02-26,neg,0.7533642
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-03-03,neg,0.6992891
Zelensky chiede più aiuti militari. #UcrainaResiste,False,2023-02-26,neu,0.6974837
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-03-02,neg,0.710348
Il mondo è diviso sulla risposta al conflitto. #geopolitica,True,2023-03-01,neg,0.4979469
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-02-27,pos,0.6458037
Il mondo è diviso sulla risposta al conflitto. #geopolitica,True,2023-02-26,neu,0.3612086
Rischio di escalation nucleare? Preoccupazione globale. #crisi,True,2023-03-02,neu,0.7563232
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-03-04,neu,0.9006421
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-03-02,pos,0.9038245
L'invasione dell'Ucraina continua. #pace #Russia,True,2023-02-27,neu,0.5152317
Nuove sanzioni contro la Russia annunciate. #politica,True,2023-02-28,pos,0.4109067
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-03-04,neu,0.8359424
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-03-01,neu,0.575004
Nuove sanzioni contro la Russia annunciate. #politica,True,2023-02-27,pos,0.8433931
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-03-04,neu,0.4653497
Nuove sanzioni contro la Russia annunciate. #politica,True,2023-03-01,neu,0.6926792
Il conflitto non ha fine serve diplomazia. #Ucraina,True,2023-03-04,neu,0.8097246
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-02-25,neu,0.5793203
Zelensky chiede più aiuti militari. #UcrainaResiste,False,2023-03-01,neg,0.521752
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,True,2023-03-03,pos,0.4360655
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-03-04,pos,0.6297027
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-03-04,neg,0.8666041
Manifestazioni in Italia per la pace. #noallaguerra,True,2023-02-27,neu,0.8363574
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,True,2023-02-25,neu,0.8761284
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-02-26,neu,0.7682865
Missili russi colpiscono obiettivi civili. #guerra,False,2023-03-02,neu,0.3914587
Zelensky chiede più aiuti militari. #UcrainaResiste,True,2023-02-28,neg,0.8382612
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-02-26,pos,0.6878552
Missili russi colpiscono obiettivi civili. #guerra,False,2023-02-28,neu,0.6106039
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-02-25,pos,0.5336366
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-03-04,pos,0.6835252
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-03-01,neu,0.7047019
Il mondo è diviso sulla risposta al conflitto. #geopolitica,True,2023-03-04,pos,0.4133149
Missili russi colpiscono obiettivi civili. #guerra,True,2023-02-26,pos,0.5447395
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-03-04,neu,0.9002393
Zelensky chiede più aiuti militari. #UcrainaResiste,True,2023-02-28,neu,0.9534626
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-03-03,pos,0.5594624
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-03-01,neu,0.5064096
Zelensky chiede più aiuti militari. #UcrainaResiste,False,2023-03-01,neg,0.7432824
Zelensky chiede più aiuti militari. #UcrainaResiste,True,2023-02-26,neu,0.5116159
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-02-25,neu,0.9136522
Il mondo è diviso sulla risposta al conflitto. #geopolitica,True,2023-02-28,pos,0.4452411
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-03-03,pos,0.6039591
Nuove sanzioni contro la Russia annunciate. #politica,False,2023-02-26,pos,0.5865397
Rischio di escalation nucleare? Preoccupazione globale. #crisi,True,2023-03-02,neu,0.4886876
Manifestazioni in Italia per la pace. #noallaguerra,True,2023-03-02,neu,0.3836671
Il conflitto non ha fine serve diplomazia. #Ucraina,True,2023-03-03,pos,0.7293113
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-02-27,neg,0.6511567
Missili russi colpiscono obiettivi civili. #guerra,False,2023-03-03,neu,0.7036469
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-03-04,neu,0.6881755
Nuove sanzioni contro la Russia annunciate. #politica,False,2023-03-01,neu,0.8603608
Nuove sanzioni contro la Russia annunciate. #politica,False,2023-03-02,pos,0.7091611
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-03-04,pos,0.45967
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-02-25,pos,0.6149209
Nuove sanzioni contro la Russia annunciate. #politica,True,2023-03-01,pos,0.4093592
Nuove sanzioni contro la Russia annunciate. #politica,True,2023-02-26,neg,0.9555079
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-03-02,pos,0.6115253
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-03-04,pos,0.6083103
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-03-02,neu,0.8769339
Il mondo è diviso sulla risposta al conflitto. #geopolitica,True,2023-02-25,neu,0.454098
Missili russi colpiscono obiettivi civili. #guerra,False,2023-03-04,neg,0.8279638
Nuove sanzioni contro la Russia annunciate. #politica,False,2023-02-27,neu,0.8686527
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-02-28,neg,0.7815178
Esodo di milioni di rifugiati dall'Ucraina. #solidarietà,False,2023-02-25,neu,0.5432189
La Russia deve fermare questa aggressione. #pace,True,2023-02-27,neg,0.8632174
Speranze di una tregua durante i negoziati. #pace,False,2023-03-01,pos,0.9123159
Bombardamenti notturni segnalati in diverse città. #Ucraina,True,2023-02-26,neg,0.7532178
Appelli umanitari per l'invio di aiuti all'Ucraina. #aiuti,False,2023-02-28,pos,0.8723159
Manifestazioni globali contro l'invasione russa. #noallaguerra,True,2023-03-02,neu,0.6732175
La comunità internazionale condanna gli attacchi russi. #crisi,False,2023-03-04,neg,0.8323176
Nuovi aiuti militari promessi all'Ucraina. #supporto,True,2023-03-01,pos,0.7932159
L'inflazione globale influenzata dal conflitto. #economia,False,2023-02-26,neu,0.6723197
La popolazione civile è la principale vittima della guerra. #umanità,True,2023-02-27,neg,0.8632197
Tweet sintetico numero 10 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,pos,0.3997968
Tweet sintetico numero 11 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,neu,0.4061504
Tweet sintetico numero 12 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,neg,0.412504
Tweet sintetico numero 13 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,pos,0.4188575
Tweet sintetico numero 14 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,neu,0.4252111
Tweet sintetico numero 15 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,neg,0.4315647
Tweet sintetico numero 16 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,pos,0.4379182
Tweet sintetico numero 17 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,neu,0.4442718
Tweet sintetico numero 18 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,neg,0.4506254
Tweet sintetico numero 19 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,pos,0.4569789
Tweet sintetico numero 20 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,neu,0.4633325
Tweet sintetico numero 21 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,neg,0.469686
Tweet sintetico numero 22 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,pos,0.4760396
Tweet sintetico numero 23 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,neu,0.4823932
Tweet sintetico numero 24 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,neg,0.4887467
Tweet sintetico numero 25 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,pos,0.4951003
Tweet sintetico numero 26 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,neu,0.5014539
Tweet sintetico numero 27 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,neg,0.5078074
Tweet sintetico numero 28 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,pos,0.514161
Tweet sintetico numero 29 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,neu,0.5205146
Tweet sintetico numero 30 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,neg,0.5268681
Tweet sintetico numero 31 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,pos,0.5332217
Tweet sintetico numero 32 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,neu,0.5395752
Tweet sintetico numero 33 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,neg,0.5459288
Tweet sintetico numero 34 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,pos,0.5522824
Tweet sintetico numero 35 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,neu,0.5586359
Tweet sintetico numero 36 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,neg,0.5649895
Tweet sintetico numero 37 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,pos,0.5713431
Tweet sintetico numero 38 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,neu,0.5776966
Tweet sintetico numero 39 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,neg,0.5840502
Tweet sintetico numero 40 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,pos,0.5904038
Tweet sintetico numero 41 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,neu,0.5967573
Tweet sintetico numero 42 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,neg,0.6031109
Tweet sintetico numero 43 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,pos,0.6094645
Tweet sintetico numero 44 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,neu,0.615818
Tweet sintetico numero 45 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,neg,0.6221716
Tweet sintetico numero 46 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,pos,0.6285251
Tweet sintetico numero 47 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,neu,0.6348787
Tweet sintetico numero 48 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,neg,0.6412323
Tweet sintetico numero 49 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,pos,0.6475858
Tweet sintetico numero 50 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,neu,0.6539394
Tweet sintetico numero 51 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,neg,0.660293
Tweet sintetico numero 52 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,pos,0.6666465
Tweet sintetico numero 53 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,neu,0.6730001
Tweet sintetico numero 54 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,neg,0.6793537
Tweet sintetico numero 55 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,pos,0.6857072
Tweet sintetico numero 56 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,neu,0.6920608
Tweet sintetico numero 57 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,neg,0.6984143
Tweet sintetico numero 58 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,pos,0.7047679
Tweet sintetico numero 59 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,neu,0.7111215
Tweet sintetico numero 60 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,neg,0.717475
Tweet sintetico numero 61 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,pos,0.7238286
Tweet sintetico numero 62 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,neu,0.7301822
Tweet sintetico numero 63 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,neg,0.7365357
Tweet sintetico numero 64 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,pos,0.7428893
Tweet sintetico numero 65 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,neu,0.7492429
Tweet sintetico numero 66 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,neg,0.7555964
Tweet sintetico numero 67 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,pos,0.76195
Tweet sintetico numero 68 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,neu,0.7683036
Tweet sintetico numero 69 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,neg,0.7746571
Tweet sintetico numero 70 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,pos,0.7810107
Tweet sintetico numero 71 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,neu,0.7873642
Tweet sintetico numero 72 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,neg,0.7937178
Tweet sintetico numero 73 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,pos,0.8000714
Tweet sintetico numero 74 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,neu,0.8064249
Tweet sintetico numero 75 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,neg,0.8127785
Tweet sintetico numero 76 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,pos,0.8191321
Tweet sintetico numero 77 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,neu,0.8254856
Tweet sintetico numero 78 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,neg,0.8318392
Tweet sintetico numero 79 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,pos,0.8381928
Tweet sintetico numero 80 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,neu,0.8445463
Tweet sintetico numero 81 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,neg,0.8508999
Tweet sintetico numero 82 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,pos,0.8572534
Tweet sintetico numero 83 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,neu,0.863607
Tweet sintetico numero 84 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,neg,0.8699606
Tweet sintetico numero 85 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,pos,0.8763141
Tweet sintetico numero 86 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,neu,0.8826677
Tweet sintetico numero 87 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,neg,0.8890213
Tweet sintetico numero 88 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,pos,0.8953748
Tweet sintetico numero 89 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,neu,0.9017284
Tweet sintetico numero 90 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,neg,0.908082
Tweet sintetico numero 91 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,pos,0.9144355
Tweet sintetico numero 92 sulla crisi Ucraina-Russia. #crisi,False,2023-02-29,neu,0.9207891
Tweet sintetico numero 93 sulla crisi Ucraina-Russia. #crisi,True,2023-02-30,neg,0.9271427
Tweet sintetico numero 94 sulla crisi Ucraina-Russia. #crisi,False,2023-02-31,pos,0.9334962
Tweet sintetico numero 95 sulla crisi Ucraina-Russia. #crisi,True,2023-02-32,neu,0.9398498
Tweet sintetico numero 96 sulla crisi Ucraina-Russia. #crisi,False,2023-02-25,neg,0.9462033
Tweet sintetico numero 97 sulla crisi Ucraina-Russia. #crisi,True,2023-02-26,pos,0.9525569
Tweet sintetico numero 98 sulla crisi Ucraina-Russia. #crisi,False,2023-02-27,neu,0.9589105
Tweet sintetico numero 99 sulla crisi Ucraina-Russia. #crisi,True,2023-02-28,neg,0.965264
